ParticipantNumber,Mean_Block1_Seq5,Mean_Block1_Seq6,Mean_Block1_Seq7,Mean_Block1_Seq8,Mean_Block2_Seq5,Mean_Block2_Seq6,Mean_Block2_Seq7,Mean_Block2_Seq8,Mean_Block3_Seq5,Mean_Block3_Seq6,Mean_Block3_Seq7,Mean_Block3_Seq8,Mean_Block4_Seq5,Mean_Block4_Seq6,Mean_Block4_Seq7,Mean_Block4_Seq8
1,75,80,65.7142857142857,42.5,83.3333333333333,76.6666666666667,54.2857142857143,57.5,95,75,35.7142857142857,33.9285714285714,74.2857142857143,40,66.6666666666667,37.5
2,76.6666666666667,55.5555555555556,52.3809523809524,41.0714285714286,94.2857142857143,91.6666666666667,68.5714285714286,37.5,93.3333333333333,80.5555555555556,61.9047619047619,50,93.3333333333333,86.1111111111111,52.3809523809524,50
3,77.1428571428571,77.7777777777778,92.8571428571428,52.0833333333333,100,92.8571428571429,63.265306122449,58.3333333333333,82.8571428571429,90,52.3809523809524,79.1666666666667,80,61.1111111111111,65.7142857142857,25
4,88.5714285714286,78.5714285714286,75.5102040816327,35.4166666666667,100,83.3333333333333,69.0476190476191,33.3333333333333,100,88.0952380952381,77.5510204081633,50,100,100,71.4285714285714,75
5,91.4285714285714,80.9523809523809,21.4285714285714,40,85.7142857142857,100,60,25,100,76.6666666666667,42.8571428571429,33.3333333333333,76,29.1666666666667,73.8095238095238,60
6,60,61.1111111111111,47.6190476190476,31.25,80,69.4444444444444,61.9047619047619,70,90,80.5555555555556,61.9047619047619,40.625,100,100,40,67.5
7,93.3333333333333,83.3333333333333,73.469387755102,42.5,94.2857142857143,52.3809523809524,64.2857142857143,35.7142857142857,93.3333333333333,66.6666666666667,51.0204081632653,42.5,80,58.3333333333333,57.1428571428571,33.3333333333333
8,80,64.2857142857143,47.6190476190476,27.0833333333333,80,76.1904761904762,28.5714285714286,52.0833333333333,82.8571428571429,78.5714285714286,40.8163265306122,27.5,88.5714285714286,54.7619047619048,100,35.4166666666667
9,100,80.952380952381,67.3469387755102,43.75,100,100,67.3469387755102,66.6666666666667,74.2857142857143,88.0952380952381,85.7142857142857,48.2142857142857,100,100,91.8367346938776,66.0714285714286
10,93.3333333333333,88.8888888888889,81.6326530612245,58.9285714285714,100,80.9523809523809,78.5714285714286,40.625,93.3333333333333,83.3333333333333,62.8571428571429,31.25,88.5714285714286,86.6666666666667,74.2857142857143,66.6666666666667
11,77.1428571428571,73.3333333333333,69.3877551020408,45,94.2857142857143,94.4444444444444,51.4285714285714,55,83.3333333333333,100,66.6666666666667,55.3571428571429,100,90.4761904761905,89.7959183673469,77.0833333333333
12,93.3333333333333,59.5238095238095,45.7142857142857,52.0833333333333,88.5714285714286,66.6666666666667,90.4761904761905,50,82.8571428571429,54.7619047619048,63.265306122449,35.7142857142857,100,71.4285714285714,85.7142857142857,87.5
13,96.6666666666667,85.7142857142857,65.3061224489796,37.5,100,90,54.7619047619048,33.3333333333333,100,93.3333333333333,76.1904761904762,37.5,100,85.7142857142857,73.8095238095238,82.1428571428571
14,70,50,51.4285714285714,19.6428571428571,77.1428571428571,73.8095238095238,52.3809523809524,31.25,88.5714285714286,88.0952380952381,47.6190476190476,18.75,82.8571428571429,80,54.7619047619048,30
15,100,83.3333333333333,61.9047619047619,50,94.2857142857143,44.4444444444444,40.8163265306122,20.8333333333333,77.1428571428571,85.7142857142857,50,40,86.6666666666667,92.8571428571429,100,70
16,60,46.6666666666667,33.3333333333333,33.3333333333333,45,33.3333333333333,19.047619047619,15,60,61.1111111111111,24.4897959183673,25,64,58.3333333333333,25,18.75
17,100,100,61.9047619047619,50,100,100,89.7959183673469,81.25,85.7142857142857,78.5714285714286,50,48.2142857142857,100,76.1904761904762,52.3809523809524,27.5
18,88.5714285714286,88.0952380952381,64.2857142857143,40,100,83.3333333333333,88.0952380952381,37.5,100,93.3333333333333,48.9795918367347,30,50,76.1904761904762,57.1428571428571,52.5
19,82.8571428571429,76.6666666666667,60.7142857142857,15,83.3333333333333,66.6666666666667,46.4285714285714,29.1666666666667,66.6666666666667,93.3333333333333,54.2857142857143,18.75,88.5714285714286,100,74.2857142857143,43.75
20,88.5714285714286,83.3333333333333,42.8571428571429,50,56,77.7777777777778,17.8571428571429,54.1666666666667,93.3333333333333,83.3333333333333,78.5714285714286,53.125,73.3333333333333,66.6666666666667,33.3333333333333,25
21,75,40.4761904761905,47.6190476190476,27.0833333333333,92,69.0476190476191,71.4285714285714,21.875,100,59.5238095238095,52.3809523809524,40.625,73.3333333333333,88.8888888888889,33.3333333333333,42.5
22,100,45.8333333333333,52.3809523809524,41.6666666666667,73.3333333333333,87.5,50,43.75,83.3333333333333,62.5,67.8571428571428,29.1666666666667,82.8571428571429,66.6666666666667,63.265306122449,31.25
23,100,72.2222222222222,57.1428571428571,28.125,46.6666666666667,33.3333333333333,64.2857142857143,25,53.3333333333333,70,NaN,22.5,70,NaN,28.5714285714286,NaN
24,NaN,66.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,61.9047619047619,NaN,100,NaN,NaN,NaN
25,100,NaN,NaN,NaN,NaN,16.6666666666667,NaN,37.5,100,NaN,42.8571428571429,NaN,NaN,NaN,NaN,NaN
26,NaN,58.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,12.5,NaN,NaN,NaN,NaN
27,NaN,NaN,100,NaN,53.3333333333333,50,100,NaN,70,NaN,NaN,NaN,100,NaN,NaN,NaN
28,20,NaN,NaN,NaN,90,16.6666666666667,NaN,12.5,20,NaN,NaN,NaN,100,66.6666666666667,NaN,NaN
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,100,NaN,14.2857142857143,12.5,NaN,NaN,14.2857142857143,NaN,40,16.6666666666667,14.2857142857143,NaN,NaN,NaN,NaN,NaN
